Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.19,-.11,-.23,-.21,-.09,-.16,-.23,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.15,-.17,.04,.04,.02,-.20,-.06,-.02,-.13,-.20,-.21,-.10,-.10,-.11,-.18,.03,-.09,-.18
1882,.15,.15,.04,-.18,-.16,-.26,-.20,-.05,-.10,-.24,-.16,-.24,-.10,-.09,.06,-.10,-.17,-.17
1883,-.31,-.39,-.13,-.17,-.20,-.12,-.08,-.15,-.20,-.14,-.22,-.16,-.19,-.20,-.31,-.16,-.12,-.19
1884,-.15,-.08,-.37,-.42,-.36,-.40,-.34,-.26,-.27,-.24,-.30,-.28,-.29,-.28,-.13,-.39,-.34,-.27
1885,-.58,-.30,-.25,-.42,-.42,-.44,-.35,-.31,-.23,-.19,-.19,-.05,-.31,-.33,-.39,-.36,-.36,-.20
1886,-.42,-.45,-.38,-.27,-.26,-.38,-.21,-.33,-.25,-.28,-.31,-.26,-.32,-.30,-.30,-.30,-.31,-.28
1887,-.72,-.52,-.34,-.38,-.32,-.23,-.23,-.32,-.22,-.32,-.23,-.33,-.35,-.34,-.50,-.34,-.26,-.26
1888,-.37,-.36,-.41,-.22,-.22,-.18,-.10,-.16,-.10,.02,.01,-.06,-.18,-.20,-.35,-.28,-.15,-.02
1889,-.11,.18,.08,.07,-.02,-.14,-.10,-.20,-.22,-.22,-.33,-.30,-.11,-.09,.00,.04,-.14,-.26
1890,-.44,-.45,-.40,-.37,-.46,-.27,-.27,-.38,-.40,-.24,-.48,-.31,-.37,-.37,-.40,-.41,-.31,-.37
1891,-.42,-.49,-.19,-.29,-.19,-.21,-.21,-.16,-.15,-.22,-.35,-.05,-.24,-.27,-.41,-.22,-.19,-.24
1892,-.28,-.12,-.36,-.35,-.25,-.23,-.32,-.25,-.13,-.12,-.41,-.38,-.27,-.24,-.15,-.32,-.27,-.22
1893,-.80,-.54,-.23,-.30,-.36,-.28,-.16,-.27,-.21,-.17,-.17,-.35,-.32,-.32,-.57,-.29,-.24,-.18
1894,-.53,-.34,-.25,-.48,-.35,-.44,-.26,-.22,-.25,-.21,-.25,-.20,-.32,-.33,-.41,-.36,-.31,-.24
1895,-.44,-.43,-.28,-.25,-.27,-.24,-.17,-.16,-.09,-.08,-.14,-.15,-.22,-.23,-.35,-.27,-.19,-.11
1896,-.26,-.14,-.26,-.30,-.18,-.14,-.03,-.04,-.03,.12,-.07,-.04,-.11,-.12,-.18,-.25,-.07,.00
1897,-.14,-.15,-.13,-.02,-.05,-.16,-.07,-.11,-.08,-.12,-.19,-.19,-.12,-.10,-.11,-.07,-.11,-.13
1898,-.02,-.28,-.51,-.32,-.32,-.20,-.24,-.25,-.21,-.34,-.38,-.25,-.28,-.27,-.16,-.38,-.23,-.31
1899,-.19,-.41,-.34,-.21,-.23,-.33,-.18,-.07,-.03,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.01
1900,-.37,-.03,.01,-.12,-.10,-.13,-.13,-.10,-.05,.09,-.10,-.07,-.09,-.11,-.23,-.07,-.12,-.02
1901,-.24,-.04,.08,-.04,-.17,-.13,-.15,-.20,-.22,-.31,-.17,-.28,-.15,-.14,-.11,-.04,-.16,-.23
1902,-.20,-.04,-.29,-.31,-.36,-.35,-.29,-.33,-.30,-.31,-.39,-.46,-.30,-.29,-.17,-.32,-.33,-.33
