"datetime","nuclear","heat_tec","wind","heat_tes","hydro_ges","hydro_gaes","consumption","month","season","hour"
"2017-01-01 01:00:00",10747,1230,1,5518,913,0,17760,1,"Winter",1
"2017-01-01 02:00:00",10757,1234,1,5645,710,0,17030,1,"Winter",2
"2017-01-01 03:00:00",10756,1226,0,5752,146,0,16498,1,"Winter",3
"2017-01-01 04:00:00",10741,1225,1,5738,243,0,16150,1,"Winter",4
"2017-01-01 05:00:00",10757,1226,3,5726,54,0,15963,1,"Winter",5
"2017-01-01 06:00:00",10750,1211,3,5749,54,0,15810,1,"Winter",6
"2017-01-01 07:00:00",10748,1223,4,5582,127,0,15743,1,"Winter",7
"2017-01-01 08:00:00",10747,1230,4,5405,56,0,15467,1,"Winter",8
"2017-01-01 09:00:00",10751,1232,26,5567,310,0,16031,1,"Winter",9
"2017-01-01 10:00:00",10761,1224,29,5875,605,0,16609,1,"Winter",10
"2017-01-01 11:00:00",10761,1214,57,6089,727,0,17151,1,"Winter",11
"2017-01-01 12:00:00",10761,1209,63,5919,335,0,17380,1,"Winter",12
"2017-01-01 13:00:00",10750,1204,109,5960,181,0,17257,1,"Winter",13
"2017-01-01 14:00:00",10774,1207,92,5873,132,0,17278,1,"Winter",14
"2017-01-01 15:00:00",10764,1215,38,5879,282,0,17293,1,"Winter",15
"2017-01-01 16:00:00",10734,1217,6,5885,711,0,17702,1,"Winter",16
"2017-01-01 17:00:00",10741,1223,3,6014,1178,552,18605,1,"Winter",17
"2017-01-01 18:00:00",10774,1235,19,6110,831,702,18622,1,"Winter",18
"2017-01-01 19:00:00",10737,1234,45,5486,1278,473,18414,1,"Winter",19
"2017-01-01 20:00:00",10737,1233,52,5337,1335,474,18298,1,"Winter",20
"2017-01-01 21:00:00",10727,1234,60,5326,1334,151,18050,1,"Winter",21
"2017-01-01 22:00:00",10752,1228,78,5310,1434,0,17964,1,"Winter",22
"2017-01-01 23:00:00",10777,1231,65,5008,997,0,17254,1,"Winter",23
"2017-01-02 00:00:00",10736,1226,90,5011,382,0,16727,1,"Winter",0
"2017-01-02 01:00:00",10730,1219,32,4912,469,0,16040,1,"Winter",1
"2017-01-02 02:00:00",10744,1224,45,5312,126,0,15592,1,"Winter",2
"2017-01-02 03:00:00",10740,1223,52,5183,58,0,15317,1,"Winter",3
"2017-01-02 04:00:00",10759,1220,63,4918,226,0,15117,1,"Winter",4
"2017-01-02 05:00:00",10756,1221,57,4916,318,0,15121,1,"Winter",5
"2017-01-02 06:00:00",10759,1218,28,5175,294,0,15484,1,"Winter",6
"2017-01-02 07:00:00",10759,1228,27,5318,310,0,15844,1,"Winter",7
"2017-01-02 08:00:00",10766,1224,34,5317,68,0,16001,1,"Winter",8
"2017-01-02 09:00:00",10776,1226,50,5737,305,0,17107,1,"Winter",9
"2017-01-02 10:00:00",10754,1230,117,5991,774,0,17997,1,"Winter",10
"2017-01-02 11:00:00",10749,1230,206,6316,699,320,18512,1,"Winter",11
"2017-01-02 12:00:00",10742,1226,213,6338,637,320,18638,1,"Winter",12
"2017-01-02 13:00:00",10737,1223,219,6157,582,319,18352,1,"Winter",13
"2017-01-02 14:00:00",10759,1218,181,6219,535,320,18371,1,"Winter",14
"2017-01-02 15:00:00",10779,1224,85,6254,893,0,18299,1,"Winter",15
"2017-01-02 16:00:00",10752,1224,28,6331,1244,0,18717,1,"Winter",16
"2017-01-02 17:00:00",10737,1227,22,6346,1339,796,19555,1,"Winter",17
"2017-01-02 18:00:00",10747,1226,58,6380,1145,1022,19621,1,"Winter",18
"2017-01-02 19:00:00",10760,1223,96,6080,922,1021,19229,1,"Winter",19
"2017-01-02 20:00:00",10779,1224,125,6051,1352,324,18957,1,"Winter",20
"2017-01-02 21:00:00",10746,1214,107,6119,1442,0,18619,1,"Winter",21
"2017-01-02 22:00:00",10771,1214,89,5957,1425,0,18429,1,"Winter",22
"2017-01-02 23:00:00",10750,1201,130,6009,386,0,17531,1,"Winter",23
"2017-01-03 00:00:00",10749,1208,207,5856,66,0,17025,1,"Winter",0
"2017-01-03 01:00:00",10722,1200,212,5935,58,0,15989,1,"Winter",1
"2017-01-03 02:00:00",10737,1218,211,5432,59,0,15757,1,"Winter",2
"2017-01-03 03:00:00",10746,1223,217,5354,59,0,15322,1,"Winter",3
"2017-01-03 04:00:00",10744,1224,211,5355,60,0,15294,1,"Winter",4
"2017-01-03 05:00:00",10747,1214,198,5404,60,0,15531,1,"Winter",5
"2017-01-03 06:00:00",10767,1231,195,5481,60,0,16035,1,"Winter",6
"2017-01-03 07:00:00",10750,1238,181,5944,60,0,17215,1,"Winter",7
"2017-01-03 08:00:00",10749,1233,170,6214,367,0,17865,1,"Winter",8
"2017-01-03 09:00:00",10749,1231,208,6521,1293,0,19058,1,"Winter",9
"2017-01-03 10:00:00",10744,1232,183,6627,1540,320,19749,1,"Winter",10
"2017-01-03 11:00:00",10754,1230,203,6792,1614,320,20029,1,"Winter",11
"2017-01-03 12:00:00",10746,1232,162,7036,1798,0,20069,1,"Winter",12
"2017-01-03 13:00:00",10734,1227,125,7010,1991,0,20156,1,"Winter",13
"2017-01-03 14:00:00",10760,1233,165,7432,1426,0,20118,1,"Winter",14
"2017-01-03 15:00:00",10770,1224,78,7405,1488,0,20092,1,"Winter",15
"2017-01-03 16:00:00",10745,1227,56,7415,1738,151,20535,1,"Winter",16
"2017-01-03 17:00:00",10739,1231,117,7457,1824,704,21174,1,"Winter",17
"2017-01-03 18:00:00",10745,1236,126,7196,1616,1022,21074,1,"Winter",18
"2017-01-03 19:00:00",10739,1233,109,6904,1684,798,20600,1,"Winter",19
"2017-01-03 20:00:00",10760,1244,148,6906,1445,646,20209,1,"Winter",20
"2017-01-03 21:00:00",10759,1207,142,7038,1459,0,19727,1,"Winter",21
"2017-01-03 22:00:00",10742,1212,116,7183,1103,0,19355,1,"Winter",22
"2017-01-03 23:00:00",10769,1200,100,7130,141,0,18272,1,"Winter",23
"2017-01-04 00:00:00",10754,1204,134,7078,368,0,17610,1,"Winter",0
"2017-01-04 01:00:00",10744,1202,107,5812,577,0,16703,1,"Winter",1
"2017-01-04 02:00:00",10777,1200,105,5858,157,0,16273,1,"Winter",2
"2017-01-04 03:00:00",10764,1198,75,5380,58,0,15899,1,"Winter",3
"2017-01-04 04:00:00",10760,1195,67,5328,237,0,15945,1,"Winter",4
