date,tavg,consumption,month,season
2016-01-01,-11.9329268293,363439,January,Winter
2016-01-02,-14.9573170732,442786,January,Winter
2016-01-03,-17.0390243902,460553,January,Winter
2016-01-04,-16.2256097561,503460,January,Winter
2016-01-05,-10.9170731707,507364,January,Winter
2016-01-06,-6.6573170732,493315,January,Winter
2016-01-07,-3.9658536585,448638,January,Winter
2016-01-08,-2.6914634146,441274,January,Winter
2016-01-09,-2.4817073171,437575,January,Winter
2016-01-10,-1.7280487805,434342,January,Winter
2016-01-11,-1.1219512195,460939,January,Winter
2016-01-12,2.6609756098,457176,January,Winter
2016-01-13,1.8097560976,449852,January,Winter
2016-01-14,-0.2329268293,443787,January,Winter
2016-01-15,-1.9487804878,450847,January,Winter
2016-01-16,-0.8317073171,445345,January,Winter
2016-01-17,-5.4658536585,437641,January,Winter
2016-01-18,-6.0451219512,466357,January,Winter
2016-01-19,-6.106097561,458601,January,Winter
2016-01-20,-7.5585365854,472149,January,Winter
2016-01-21,-7.8085365854,483412,January,Winter
2016-01-22,-9.2268292683,488093,January,Winter
2016-01-23,-10.6634146341,476157,January,Winter
2016-01-24,-13.1170731707,470306,January,Winter
2016-01-25,-10.3231707317,503013,January,Winter
2016-01-26,-5.6512195122,492193,January,Winter
2016-01-27,-0.9024390244,484136,January,Winter
2016-01-28,3.5182926829,465609,January,Winter
2016-01-29,2.1829268293,449083,January,Winter
2016-01-30,1.4658536585,430379,January,Winter
2016-01-31,2.3987804878,419874,January,Winter
2016-02-01,1.1073170732,445048,February,Winter
2016-02-02,2.5329268293,450164,February,Winter
2016-02-03,4.8975609756,441357,February,Winter
2016-02-04,1.8353658537,445326,February,Winter
2016-02-05,0.056097561,444583,February,Winter
2016-02-06,-0.756097561,429570,February,Winter
2016-02-07,-1.5451219512,420557,February,Winter
2016-02-08,-0.1987804878,449696,February,Winter
2016-02-09,1.7341463415,453703,February,Winter
2016-02-10,3.5524390244,449668,February,Winter
2016-02-11,2.4975609756,452440,February,Winter
2016-02-12,2.2219512195,441314,February,Winter
2016-02-13,1.9097560976,433466,February,Winter
2016-02-14,4.9097560976,414839,February,Winter
2016-02-15,5.8731707317,427147,February,Winter
2016-02-16,7.5317073171,427210,February,Winter
2016-02-17,2.6597560976,429180,February,Winter
2016-02-18,0.4024390244,431361,February,Winter
2016-02-19,0.2670731707,436806,February,Winter
2016-02-20,-1.0951219512,430897,February,Winter
2016-02-21,-0.5390243902,418354,February,Winter
2016-02-22,5.587804878,438839,February,Winter
2016-02-23,7.2682926829,429032,February,Winter
2016-02-24,4.3585365854,434349,February,Winter
2016-02-25,2.0097560976,428432,February,Winter
2016-02-26,2.0463414634,431126,February,Winter
2016-02-27,2.1865853659,415753,February,Winter
2016-02-28,2.9292682927,401742,February,Winter
2016-02-29,4.8865853659,425409,February,Winter
2016-03-01,6.7987804878,427688,March,Spring
2016-03-02,5.2304878049,421423,March,Spring
2016-03-03,4.0097560976,422210,March,Spring
2016-03-04,3.85,423662,March,Spring
2016-03-05,3.4731707317,406890,March,Spring
2016-03-06,4.4512195122,392398,March,Spring
2016-03-07,7.3451219512,396190,March,Spring
2016-03-08,7.9743902439,381661,March,Spring
2016-03-09,7.2951219512,400421,March,Spring
2016-03-10,7.2158536585,407096,March,Spring
2016-03-11,5.4817073171,413317,March,Spring
2016-03-12,5.887804878,403790,March,Spring
2016-03-13,3.8402439024,391002,March,Spring
2016-03-14,1.8329268293,418248,March,Spring
2016-03-15,0.7341463415,423229,March,Spring
2016-03-16,1.8792682927,418036,March,Spring
2016-03-17,3.387804878,423562,March,Spring
2016-03-18,5.756097561,418948,March,Spring
2016-03-19,-0.9475609756,408562,March,Spring
2016-03-20,0.1341463415,402219,March,Spring
2016-03-21,2.4390243902,424899,March,Spring
2016-03-22,3.8268292683,419545,March,Spring
2016-03-23,4.3012195122,418401,March,Spring
2016-03-24,2.9731707317,429363,March,Spring
2016-03-25,1.5329268293,425866,March,Spring
2016-03-26,2.6073170732,408674,March,Spring
2016-03-27,3.637804878,390502,March,Spring
2016-03-28,4.0890243902,413158,March,Spring
2016-03-29,5.9487804878,410909,March,Spring
2016-03-30,7.7585365854,407514,March,Spring
2016-03-31,9.762195122,404003,March,Spring
2016-04-01,10.9926829268,391956,April,Spring
2016-04-02,5.0646341463,384530,April,Spring
2016-04-03,6.6865853659,370683,April,Spring
2016-04-04,9.5926829268,388213,April,Spring
2016-04-05,11.4024390244,381255,April,Spring
2016-04-06,13.0865853659,378134,April,Spring
2016-04-07,13.1085365854,366677,April,Spring
2016-04-08,15.8182926829,363042,April,Spring
2016-04-09,16.3341463415,348033,April,Spring
2016-04-10,15.3280487805,337943,April,Spring
2016-04-11,14.3317073171,361558,April,Spring
2016-04-12,14.2890243902,361087,April,Spring
2016-04-13,14.0073170732,362073,April,Spring
2016-04-14,13.6231707317,359090,April,Spring
2016-04-15,10.3682926829,368829,April,Spring
2016-04-16,11.5902439024,352924,April,Spring
2016-04-17,16.0158536585,339573,April,Spring
2016-04-18,16.206097561,355640,April,Spring
2016-04-19,12.5670731707,358436,April,Spring
2016-04-20,9.1524390244,367769,April,Spring
2016-04-21,6.7304878049,376604,April,Spring
2016-04-22,9.8841463415,372416,April,Spring
2016-04-23,10.2207317073,358370,April,Spring
2016-04-24,12.3182926829,346308,April,Spring
