"index"	"tenure"	"age"	"marital"	"address"	"income"	"ed"	"employ"	"retire"	"gender"	"longmon"	"wiremon"	"churn"
"1"	13	44	"Married"	9	64	"College degree"	5	"No"	"Male"	3.7	0	"Yes"
"2"	11	33	"Married"	7	136	"Post-undergraduate degree"	5	"No"	"Male"	4.4	35.7	"Yes"
"3"	68	52	"Married"	24	116	"Did not complete high school"	29	"No"	"Female"	18.15	0	"No"
"4"	33	33	"Unmarried"	12	33	"High school degree"	0	"No"	"Female"	9.45	0	"Yes"
"5"	23	30	"Married"	9	30	"Did not complete high school"	2	"No"	"Male"	6.3	0	"No"
"6"	41	39	"Unmarried"	17	78	"High school degree"	16	"No"	"Female"	11.8	0	"No"
"7"	45	22	"Married"	2	19	"High school degree"	4	"No"	"Female"	10.9	0	"Yes"
"8"	38	35	"Unmarried"	5	76	"High school degree"	10	"No"	"Male"	6.05	64.9	"No"
"9"	45	59	"Married"	7	166	"College degree"	31	"No"	"Male"	9.75	0	"No"
"10"	68	41	"Married"	21	72	"Did not complete high school"	22	"No"	"Male"	24.15	0	"No"
"11"	5	33	"Unmarried"	10	125	"College degree"	5	"No"	"Female"	4.85	0	"Yes"
"12"	7	35	"Unmarried"	14	80	"High school degree"	15	"No"	"Female"	7.1	0	"No"
"13"	41	38	"Married"	8	37	"High school degree"	9	"No"	"Female"	8.55	0	"No"
"14"	57	54	"Married"	30	115	"College degree"	23	"No"	"Female"	15.6	61.05	"Yes"
"15"	9	46	"Unmarried"	3	25	"Did not complete high school"	8	"No"	"Female"	4.4	0	"No"
"16"	29	38	"Married"	12	75	"Post-undergraduate degree"	1	"No"	"Male"	5.1	0	"No"
"17"	60	57	"Unmarried"	38	162	"High school degree"	30	"No"	"Male"	16.15	0	"No"
"18"	34	48	"Unmarried"	3	49	"High school degree"	6	"No"	"Female"	6.65	0	"No"
"19"	1	24	"Unmarried"	3	20	"Did not complete high school"	3	"No"	"Male"	1.05	0	"No"
"20"	26	29	"Married"	3	77	"College degree"	2	"No"	"Male"	6.7	38.3	"Yes"
"21"	6	30	"Unmarried"	7	16	"Some college"	1	"No"	"Female"	3.75	18.7	"Yes"
"22"	68	52	"Married"	17	120	"Did not complete high school"	24	"No"	"Male"	20.7	0	"No"
"23"	53	33	"Unmarried"	10	101	"Post-undergraduate degree"	4	"No"	"Female"	5.3	51.4	"No"
"24"	55	48	"Married"	19	67	"Did not complete high school"	25	"No"	"Male"	15.05	0	"No"
"25"	14	43	"Married"	18	36	"Did not complete high school"	5	"No"	"Male"	12.5	0	"No"
"26"	1	21	"Unmarried"	0	33	"High school degree"	0	"No"	"Female"	2.2	0	"No"
"27"	42	40	"Unmarried"	7	37	"High school degree"	8	"No"	"Female"	8.25	37.4	"No"
"28"	25	33	"Married"	11	31	"Did not complete high school"	5	"No"	"Male"	9.1	0	"No"
"29"	9	21	"Married"	1	17	"High school degree"	2	"No"	"Female"	2.9	0	"No"
"30"	13	33	"Married"	9	19	"College degree"	0	"No"	"Female"	5.55	0	"No"
"31"	56	37	"Married"	6	36	"Did not complete high school"	13	"No"	"Female"	10.6	0	"No"
"32"	71	53	"Married"	27	155	"Post-undergraduate degree"	12	"No"	"Male"	21	49.95	"No"
"33"	35	50	"Married"	26	140	"High school degree"	21	"No"	"Female"	6.5	0	"No"
"34"	11	27	"Married"	8	55	"Post-undergraduate degree"	0	"No"	"Male"	4.8	0	"No"
"35"	60	46	"Married"	13	163	"Some college"	24	"No"	"Male"	33.9	55.25	"No"
"36"	20	35	"Married"	11	52	"College degree"	0	"No"	"Male"	4.25	0	"Yes"
"37"	54	60	"Unmarried"	38	211	"College degree"	25	"No"	"Male"	21.15	54.85	"No"
"38"	44	57	"Married"	1	186	"High school degree"	17	"No"	"Male"	9.8	41.65	"No"
"39"	11	41	"Married"	0	39	"Did not complete high school"	1	"No"	"Female"	6.55	0	"Yes"
"40"	72	57	"Unmarried"	34	22	"High school degree"	35	"Yes"	"Female"	41.75	0	"No"
"41"	10	41	"Unmarried"	7	30	"Did not complete high school"	7	"No"	"Male"	2.5	0	"No"
"42"	15	28	"Unmarried"	0	29	"High school degree"	4	"No"	"Female"	4.25	0	"No"
"43"	27	28	"Married"	4	23	"High school degree"	8	"No"	"Male"	6.2	0	"No"
"44"	9	36	"Married"	14	62	"College degree"	10	"No"	"Male"	5.65	48.5	"Yes"
"45"	64	43	"Married"	20	76	"College degree"	20	"No"	"Female"	14.7	0	"No"
"46"	65	41	"Married"	3	74	"College degree"	16	"No"	"Male"	14.5	0	"No"
"47"	49	51	"Married"	27	63	"College degree"	19	"No"	"Male"	12.85	0	"No"
"48"	47	41	"Married"	0	36	"College degree"	8	"No"	"Male"	7.75	38.8	"Yes"
"49"	9	34	"Married"	9	33	"High school degree"	8	"No"	"Female"	2.95	0	"Yes"
"50"	5	36	"Unmarried"	14	29	"High school degree"	9	"No"	"Female"	3.25	26.75	"Yes"
"51"	30	34	"Married"	4	27	"High school degree"	1	"No"	"Male"	6.3	0	"Yes"
"52"	56	52	"Married"	28	49	"High school degree"	12	"No"	"Male"	24.75	0	"No"
"53"	10	22	"Unmarried"	0	24	"College degree"	0	"No"	"Male"	7.8	30.05	"No"
"54"	7	26	"Married"	3	26	"High school degree"	2	"No"	"Male"	4.85	0	"No"
"55"	52	27	"Unmarried"	6	47	"Some college"	5	"No"	"Male"	6.25	0	"No"
"56"	36	45	"Married"	1	94	"High school degree"	18	"No"	"Female"	7.2	0	"Yes"
"57"	27	34	"Unmarried"	8	21	"Some college"	4	"No"	"Female"	7.65	0	"No"
"58"	58	62	"Married"	36	27	"Did not complete high school"	0	"No"	"Male"	15.5	0	"No"
"59"	41	52	"Unmarried"	27	30	"High school degree"	2	"No"	"Female"	10.4	27.5	"No"
"60"	47	40	"Married"	16	127	"College degree"	12	"No"	"Female"	19.7	0	"No"
"61"	55	39	"Married"	15	137	"High school degree"	20	"No"	"Female"	12.7	0	"Yes"
"62"	56	50	"Married"	1	80	"High school degree"	24	"No"	"Female"	28.8	61.1	"No"
"63"	35	55	"Unmarried"	24	30	"High school degree"	2	"No"	"Male"	10.25	0	"No"
"64"	69	51	"Married"	11	438	"College degree"	23	"No"	"Female"	29	0	"No"
"65"	44	39	"Unmarried"	16	79	"High school degree"	16	"No"	"Male"	15.25	30.05	"Yes"
"66"	36	47	"Married"	16	63	"Did not complete high school"	23	"No"	"Male"	9.05	0	"No"
"67"	28	51	"Married"	22	40	"Some college"	10	"No"	"Female"	8.95	0	"No"
"68"	72	67	"Married"	44	51	"Did not complete high school"	34	"Yes"	"Male"	57.05	0	"No"
"69"	16	27	"Unmarried"	5	37	"Some college"	5	"No"	"Male"	6	0	"No"
"70"	3	43	"Unmarried"	19	61	"College degree"	11	"No"	"Female"	3.15	17.95	"Yes"
"71"	40	57	"Married"	15	22	"High school degree"	9	"No"	"Male"	8.55	0	"No"
"72"	16	39	"Unmarried"	6	44	"College degree"	3	"No"	"Female"	6.6	0	"No"
"73"	20	42	"Unmarried"	4	17	"Some college"	5	"No"	"Male"	7.8	0	"No"
"74"	48	43	"Unmarried"	13	110	"Post-undergraduate degree"	15	"No"	"Female"	7.25	20.65	"No"
"75"	64	48	"Married"	13	91	"High school degree"	24	"No"	"Male"	24.5	29.65	"No"
"76"	8	46	"Unmarried"	3	46	"High school degree"	8	"No"	"Male"	3.15	0	"No"
"77"	40	38	"Married"	10	85	"Some college"	12	"No"	"Male"	10.6	0	"Yes"
"78"	38	71	"Unmarried"	27	10	"High school degree"	12	"Yes"	"Male"	11.2	0	"No"
"79"	67	68	"Unmarried"	28	244	"Did not complete high school"	47	"No"	"Female"	30.25	0	"No"
"80"	26	42	"Unmarried"	0	80	"College degree"	15	"No"	"Female"	7.85	43.75	"No"
"81"	41	34	"Married"	15	83	"Post-undergraduate degree"	1	"No"	"Female"	8.9	0	"No"
"82"	2	31	"Unmarried"	2	21	"Did not complete high school"	6	"No"	"Male"	1.65	0	"Yes"
"83"	20	48	"Married"	29	24	"High school degree"	3	"No"	"Male"	11.85	0	"Yes"
"84"	31	53	"Unmarried"	2	351	"Some college"	31	"No"	"Female"	5.5	0	"No"
"85"	45	52	"Married"	4	169	"College degree"	29	"No"	"Female"	14.65	0	"No"
"86"	33	27	"Married"	7	46	"High school degree"	7	"No"	"Male"	7.25	0	"No"
"87"	10	26	"Unmarried"	6	34	"Some college"	3	"No"	"Male"	4.85	0	"No"
"88"	62	54	"Married"	2	50	"College degree"	3	"No"	"Male"	17.25	33.25	"Yes"
"89"	4	35	"Unmarried"	16	161	"Post-undergraduate degree"	6	"No"	"Female"	3.4	35.75	"Yes"
"90"	42	47	"Married"	17	212	"College degree"	17	"No"	"Male"	7.45	0	"No"
"91"	27	51	"Married"	3	80	"Post-undergraduate degree"	11	"No"	"Male"	7.1	0	"No"
"92"	38	42	"Unmarried"	1	30	"College degree"	7	"No"	"Female"	13.2	0	"No"
"93"	52	61	"Married"	3	53	"Post-undergraduate degree"	1	"No"	"Female"	12.25	35.95	"No"
"94"	35	33	"Unmarried"	9	73	"Post-undergraduate degree"	4	"No"	"Female"	5.85	40.35	"No"
"95"	3	20	"Married"	1	17	"High school degree"	0	"No"	"Female"	3.75	0	"Yes"
"96"	17	33	"Unmarried"	9	23	"Post-undergraduate degree"	3	"No"	"Male"	10.2	30.9	"Yes"
"97"	55	53	"Married"	21	34	"Did not complete high school"	8	"No"	"Male"	5.7	0	"No"
"98"	43	36	"Married"	5	107	"Did not complete high school"	19	"No"	"Female"	11.55	0	"Yes"
"99"	47	25	"Married"	5	21	"Did not complete high school"	1	"No"	"Female"	8.65	0	"Yes"
"100"	65	58	"Unmarried"	30	83	"High school degree"	16	"No"	"Female"	19.3	0	"No"
"101"	13	20	"Unmarried"	1	17	"Some college"	0	"No"	"Male"	3.05	0	"No"
"102"	64	25	"Married"	4	76	"Some college"	2	"No"	"Female"	24.05	0	"No"
"103"	12	24	"Unmarried"	2	19	"Did not complete high school"	0	"No"	"Male"	4	0	"Yes"
"104"	29	32	"Married"	0	49	"College degree"	3	"No"	"Female"	6.7	0	"Yes"
"105"	23	47	"Unmarried"	21	173	"Some college"	22	"No"	"Female"	7.6	0	"No"
"106"	14	35	"Unmarried"	4	47	"Some college"	10	"No"	"Female"	5	24.15	"Yes"
"107"	35	61	"Unmarried"	23	41	"High school degree"	11	"No"	"Male"	9.6	0	"No"
"108"	26	39	"Unmarried"	8	105	"Some college"	13	"No"	"Female"	6.6	38.25	"No"
"109"	13	54	"Unmarried"	2	31	"College degree"	2	"No"	"Male"	5.85	0	"No"
"110"	69	40	"Married"	13	41	"High school degree"	17	"No"	"Male"	25.25	0	"No"
"111"	61	50	"Married"	30	102	"College degree"	9	"No"	"Female"	12.6	0	"No"
"112"	45	22	"Married"	2	36	"College degree"	0	"No"	"Female"	9.95	0	"Yes"
"113"	3	37	"Unmarried"	13	24	"Did not complete high school"	3	"No"	"Female"	2	0	"No"
"114"	53	22	"Unmarried"	1	25	"College degree"	0	"No"	"Male"	12.05	0	"No"
"115"	59	42	"Unmarried"	1	68	"High school degree"	21	"No"	"Female"	17.3	0	"No"
"116"	13	34	"Unmarried"	11	20	"Some college"	0	"No"	"Female"	4.8	0	"No"
"117"	31	31	"Unmarried"	4	48	"Did not complete high school"	15	"No"	"Male"	3.8	0	"No"
"118"	40	29	"Married"	6	40	"High school degree"	8	"No"	"Female"	13	0	"No"
"119"	48	55	"Unmarried"	15	79	"Did not complete high school"	25	"No"	"Male"	13.8	0	"No"
"120"	3	31	"Unmarried"	1	28	"Did not complete high school"	0	"No"	"Male"	3.45	0	"Yes"
"121"	51	48	"Unmarried"	12	64	"High school degree"	22	"No"	"Female"	14.8	0	"No"
"122"	33	41	"Unmarried"	15	37	"High school degree"	11	"No"	"Male"	12.2	0	"No"
"123"	14	47	"Married"	7	48	"Did not complete high school"	13	"No"	"Male"	4.25	0	"No"
"124"	17	42	"Married"	6	131	"Post-undergraduate degree"	6	"No"	"Male"	5.8	21.65	"Yes"
"125"	19	29	"Married"	9	18	"High school degree"	2	"No"	"Male"	5.4	0	"Yes"
"126"	58	36	"Unmarried"	10	38	"High school degree"	14	"No"	"Female"	10.15	0	"No"
"127"	22	23	"Unmarried"	3	37	"High school degree"	4	"No"	"Female"	5.35	24.7	"No"
"128"	29	31	"Married"	1	60	"College degree"	6	"No"	"Male"	9.6	0	"Yes"
"129"	14	22	"Married"	2	13	"Some college"	0	"No"	"Female"	9.45	0	"Yes"
"130"	70	64	"Married"	18	98	"Did not complete high school"	31	"No"	"Female"	26.15	45.45	"No"
"131"	62	52	"Married"	2	195	"Did not complete high school"	23	"No"	"Male"	23.15	34.3	"Yes"
"132"	7	35	"Married"	0	47	"Did not complete high school"	14	"No"	"Male"	5.2	0	"Yes"
"133"	56	47	"Married"	19	65	"High school degree"	22	"No"	"Male"	12.4	58.4	"No"
"134"	50	50	"Married"	22	150	"Post-undergraduate degree"	5	"No"	"Female"	19.3	0	"Yes"
"135"	57	39	"Unmarried"	6	106	"Post-undergraduate degree"	8	"No"	"Male"	9.05	39.6	"No"
"136"	2	40	"Unmarried"	19	51	"College degree"	14	"No"	"Female"	4.25	0	"No"
"137"	40	38	"Unmarried"	17	96	"College degree"	0	"No"	"Female"	9.3	0	"No"
"138"	6	43	"Unmarried"	4	33	"Post-undergraduate degree"	7	"No"	"Male"	4.25	26.75	"No"
"139"	23	25	"Married"	6	38	"High school degree"	1	"No"	"Female"	13.9	0	"No"
"140"	11	32	"Unmarried"	6	125	"College degree"	5	"No"	"Male"	3.8	58.25	"Yes"
"141"	29	37	"Married"	13	145	"Post-undergraduate degree"	0	"No"	"Female"	8.6	28	"No"
"142"	42	44	"Married"	2	99	"High school degree"	21	"No"	"Male"	22.05	0	"No"
"143"	20	34	"Married"	2	22	"College degree"	0	"No"	"Female"	4.85	31.65	"No"
"144"	72	60	"Married"	21	31	"Did not complete high school"	38	"Yes"	"Male"	32.25	0	"No"
"145"	2	36	"Unmarried"	3	25	"Did not complete high school"	6	"No"	"Female"	1.9	24.15	"No"
"146"	46	25	"Unmarried"	5	57	"Post-undergraduate degree"	0	"No"	"Female"	20.25	28.35	"No"
"147"	39	51	"Married"	21	41	"Post-undergraduate degree"	20	"No"	"Male"	12.1	35.35	"No"
"148"	24	25	"Married"	1	20	"Some college"	1	"No"	"Female"	8.15	0	"Yes"
"149"	59	43	"Married"	4	101	"High school degree"	22	"No"	"Female"	13.65	0	"No"
"150"	65	37	"Unmarried"	8	56	"High school degree"	15	"No"	"Male"	10.25	0	"No"
"151"	50	27	"Married"	5	22	"High school degree"	5	"No"	"Female"	17.2	0	"No"
